Entrytype,Groups,Title,Organization,Creationdate,Year,Month,Validity,Asset, Discipline, Stage, Category, Requirement, Must, Comment, Timestamp, Register,URL,File
Certificate,NA,Certificate of Practical Completion,CBRE Limited,,2018,\#mar\#,2/8/2019,4 Matthew Parker Street,General,General,Other,Other,N,,9/13/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 2 Assets/3x London Assets/Clarence House/Cert of PC - 3rd Floor.pdf:PDF
Brochure,NA,Marketing Advertisement(Jermyn Street and Savoy Baths),Prime London Portfolio,,2023,,,Jermyn Street and Savoy Baths,General,General,Other,Other,N,No clear title the document title has been created,9/13/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 2 Assets/3x London Assets/Project Tiger - Information Memorandum (Jermyn Street).pdf:PDF
Certificate,NA,Certificate of Making Good,Joneshargeaves Building + Project Consultants,,2024,\#apr\#,NA,Clarence House,Architectural,Maintenance,Other,Other,N,,9/13/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 2 Assets/3x London Assets/Clarence House/Certificate of Making Good.pdf:PDF
Certificate,NA,Draft Certificate of Title,NA,,NA,NA,NA,Mayfair,General,General,Other,Other,N,Draft document,9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 2 Assets/Title Plans (at rear of document)/DRAFT - Certificate of Title  - Curzon Street_ Mayfair_ London - 31.05.2024.pdf:PDF
Certificate,NA,Draft Certificate of Title,NA,,NA,NA,NA,Jermyn Street and Savoy Baths,General,General,Other,Other,N,Draft document,9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 2 Assets/Title Plans (at rear of document)/DRAFT - Certificate of Title - Jermyn Street - 31.05.2024.pdf:PDF
Certificate,NA,Draft Certificate of Title,NA,,NA,NA,NA,"OxAM House,Oxford",General,General,Other,Other,N,Draft document,9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 2 Assets/Title Plans (at rear of document)/DRAFT - Certificate of Title re OxAM House_ 4-16 George Street_ Oxford OX1 2AF - 31.05.2024.pdf:PDF
Certificate,NA,Draft Certificate of Title,NA,,NA,NA,NA,Flatten Way,General,General,Other,Other,N,Draft document,9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 2 Assets/Title Plans (at rear of document)/DRAFT Certificate of Title - Flatten Way Syston - 31.05.2024.pdf:PDF
Plan,LE01,Title Plan - LT314475,HM Land Registry,,2024,\#apr\#,,Mill Lane Industrial Estate,Legal,General,Legal,Legal,Y,"Also inculded in Other sites not in our scope"" folder""",9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Title Plans/Mil Lane/Title Plan - LT314475.pdf:PDF
Brochure,NA,Marketing Advertisement,NA,,2024,,,Beveridge Lane,General,General,Other,Other,N,4 Assets in one file,9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 2 Assets/4x logistic Assets/Project Tiger - Information Memorandum (4 x industrials).pdf:PDF
Brochure,NA,Marketing Advertisement,NA,,2024,,,Uxbridgeroad Estate,General,General,Other,Other,N,4 Assets in one file,9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 2 Assets/4x logistic Assets/Project Tiger - Information Memorandum (4 x industrials).pdf:PDF
Brochure,NA,Marketing Advertisement,NA,,2024,,,Flatten Way,General,General,Other,Other,N,4 Assets in one file,9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 2 Assets/4x logistic Assets/Project Tiger - Information Memorandum (4 x industrials).pdf:PDF
Brochure,NA,Marketing Advertisement,NA,,2024,,,The Woodlands,General,General,Other,Other,N,4 Assets in one file,9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 2 Assets/4x logistic Assets/Project Tiger - Information Memorandum (4 x industrials).pdf:PDF
TechReport,NA,RAAC Inspections Charles Street Buildings Group,Hexa Consulting Limited,,2024,\#may\#,,Hilltop Industrial Estate,Civil,Design,Operational,Best Practice,N,,9/12/2024,,"https://arcadiso365.sharepoint.com/:b:/r/teams/ProjectTiger2024/Shared Documents/General/06. Documents Provided/Stage 1 Assets/RAAC Reports/601018-HEX-00-XX-RP RAAC; New Star Rd, Bardon & Glenfield.pdf?csf=1&web=1&e=ReszSF",:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/RAAC Reports/601018-HEX-00-XX-RP RAAC inspection Leicester buildings 1.pdf:PDF
TechReport,NA,RAAC Inspections Charles Street Buildings Group,Hexa Consulting Limited,,2024,\#may\#,,Mill Lane Industrial Estate,Civil,Design,Operational,Best Practice,N,,9/12/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/RAAC Reports/601018-HEX-00-XX-RP RAAC inspection Leicester buildings 1.pdf:PDF
TechReport,NA,RAAC Inspections Charles Street Buildings Group,Hexa Consulting Limited,,2024,\#may\#,,New Star Road State,Civil,Design,Operational,Best Practice,N,,9/12/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/RAAC Reports/601018-HEX-00-XX-RP RAAC inspection Leicester buildings 1.pdf:PDF
Lease,LE03,Lease of 28th January 2010,NA,,2010,\#jan\#,,Mill Lane Industrial Estate,Contract,General,Legal,Legal,Y,,9/12/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Mill Lane Industrial Estate  - Premier Display Units 1C and 1D/Lease of 28th January 2010.pdf:PDF
Standard,ESG01,Minimum Energy Efficiency Standard Report,Ashby Energy Assessors Ltd,,2023,,,Mill Lane Industrial Estate,Energy,Design,Environmental,Best Practice,N,,9/12/2024,,,":C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Mill Lane Ind Estate EPCs/Unit 4 + Ext, Mill Lane Glenfield Leicester LE3 8DX - Reccomendation.pdf:PDF"
Certificate,CE22,Certificate of Electrical Appliance Testing,Compliance Group Electrical Ltd,,2024,\#jan\#,24 Janury 2025,Mill Lane Industrial Estate,Electronics,General,Operational,Best Practice,N,,9/12/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Mill Lane Industrial Estate  - Premier Display Units 1C and 1D/TS2283-1 - PREMIER DISPLAY LTD - CERTIFICATE.pdf:PDF
Certificate,ESG06,Energy performance certificate (EPC),Elmhurst Energy Systems Ltd,,2023,\#nov\#,15-Nov-33,Hilltop Industrial Estate,Energy,Operation,Environmental,Legal,Y,,9/12/2024,,https://arcadiso365.sharepoint.com/:b:/r/teams/ProjectTiger2024/Shared Documents/General/06. Documents Provided/Stage 1 Assets/Hilltop Ind Estate EPCs/Green Plan IT -  Unit 5 Dromintee Road Green Plan-it final EPC.pdf?csf=1&web=1&e=Py8Ve0,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Hilltop Ind Estate EPCs/Green Plan IT -  Unit 5 Dromintee Road Green Plan-it final EPC.pdf:PDF
Certificate,ESG06,Building Energy Performance Certificate Non-Domestic Building,Elmhurst Energy Systems Ltd,,2023,\#oct\#,29-Oct-33,Mill Lane Industrial Estate,Energy,Operation,Environmental,Legal,Y,,9/12/2024,,,":C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Mill Lane Ind Estate EPCs/Unit 3B - Mill Lane Industrial Estate, Glenfield, Unit 3B draft SBEM.pdf:PDF"
Certificate,ESG06,Energy performance certificate (EPC),Elmhurst Energy Systems Ltd,,2023,\#nov\#,15-Nov-33,Mill Lane Industrial Estate,Energy,Operation,Environmental,Legal,Y,,9/12/2024,,,":C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Mill Lane Ind Estate EPCs/Unit 5_Mill Lane Industrial Estate, Glenfield.pdf:PDF"
Certificate,ESG06,Energy performance certificate (EPC),Elmhurst Energy Systems Ltd,,2023,\#nov\#,15-Nov-33,Mill Lane Industrial Estate,Energy,Operation,Environmental,Legal,Y,,9/12/2024,,,":C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Mill Lane Ind Estate EPCs/Unit 5i - Mill Lane Industrial Estate, Glenfield - EPC.pdf:PDF"
Certificate,ESG06,Energy performance certificate (EPC),Elmhurst Energy Systems Ltd,,2023,\#nov\#,15-Nov-33,Mill Lane Industrial Estate,Energy,Operation,Environmental,Legal,Y,,9/12/2024,,,":C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Mill Lane Ind Estate EPCs/Unit 5ii - Mill Lane Industrial Estate, Glenfield -  EPC.pdf:PDF"
Certificate,ESG06,Building Energy Performance Certificate Non-Domestic Building,Elmhurst Energy Systems Ltd,,2023,\#oct\#,24-Oct-33,Mill Lane Industrial Estate,Energy,Operation,Environmental,Legal,Y,,9/12/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Mill Lane Ind Estate EPCs/Unit 8 Mill Lane - Draft SBEM.pdf:PDF
Certificate,ESG06,Energy performance certificate (EPC),Elmhurst Energy Systems Ltd,,2023,\#nov\#,15-Nov-33,Hilltop Industrial Estate,Energy,Operation,Environmental,Legal,Y,,9/12/2024,,https://arcadiso365.sharepoint.com/:b:/r/teams/ProjectTiger2024/Shared Documents/General/06. Documents Provided/Stage 1 Assets/Hilltop Ind Estate EPCs/Green Plan IT -  Unit 5 Dromintee Road Green Plan-it final EPC.pdf?csf=1&web=1&e=Py8Ve0,":C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Hilltop Ind Estate EPCs/OMS - 1 Dromintee Road, Bardon Hill, LE67 1TX final EPC.pdf:PDF"
Certificate,ESG06,Energy performance certificate (EPC),Elmhurst Energy Systems Ltd,,2023,\#nov\#,15-Nov-33,Hilltop Industrial Estate,Energy,Operation,Environmental,Legal,Y,,9/12/2024,,https://arcadiso365.sharepoint.com/:b:/r/teams/ProjectTiger2024/Shared Documents/General/06. Documents Provided/Stage 1 Assets/Hilltop Ind Estate EPCs/Premier logistics final - EPC 17th Nov 2023.pdf?csf=1&web=1&e=C5goUL,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Hilltop Ind Estate EPCs/Premier logistics final - EPC 17th Nov 2023.pdf:PDF
Certificate,ESG06,Building Energy Performance Certificate,Elmhurst Energy Systems Ltd,,2022,\#dec\#,11-Dec-32,Mill Lane Industrial Estate,Energy,Operation,Environmental,Legal,Y,,9/12/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Mill Lane Ind Estate EPCs/Unit 1C.1D Mill Lane  - Draft DSM.pdf:PDF
Certificate,ESG06,Building Energy Performance Certificate Non-Domestic Building,Elmhurst Energy Systems Ltd,,2022,\#dec\#,11-Dec-32,Mill Lane Industrial Estate,Energy,Operation,Environmental,Legal,Y,,9/12/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Mill Lane Ind Estate EPCs/Unit 1C.1D Mill Lane  - Draft SBEM (1).pdf:PDF
Certificate,ESG06,Energy performance certificate (EPC),Elmhurst Energy Systems Ltd,,2021,\#jun\#,14-Jun-31,Hilltop Industrial Estate,Energy,Operation,Environmental,Legal,Y,,9/12/2024,,https://arcadiso365.sharepoint.com/:b:/r/teams/ProjectTiger2024/Shared Documents/General/06. Documents Provided/Stage 1 Assets/Hilltop Ind Estate EPCs/EPC - Gregory Distribution.pdf?csf=1&web=1&e=VmPIFA,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Hilltop Ind Estate EPCs/EPC - Gregory Distribution.pdf:PDF
Certificate,ESG06,Energy performance certificate (EPC),Elmhurst Energy Systems Ltd,,2021,\#may\#,19-May-31,Hilltop Industrial Estate,Energy,Operation,Environmental,Legal,Y,,9/12/2024,,"https://arcadiso365.sharepoint.com/:b:/r/teams/ProjectTiger2024/Shared Documents/General/06. Documents Provided/Stage 1 Assets/Hilltop Ind Estate EPCs/Go Plant - EPC Franks Road, Bardon.pdf?csf=1&web=1&e=KOiXuj",":C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Hilltop Ind Estate EPCs/Go Plant - EPC Franks Road, Bardon.pdf:PDF"
Certificate,ESG06,Energy Performance Certificate Non-Domestic Building,Elmhurst Energy Systems Ltd,,2020,\#feb\#,24-Feb-30,Mill Lane Industrial Estate,Energy,Operation,Environmental,Legal,Y,,9/12/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Mill Lane Ind Estate EPCs/EPC - Unit 7 - Nissin UK.pdf:PDF
Certificate,ESG06,Energy Performance Certificate Non-Domestic Building,Elmhurst Energy Systems Ltd,,2019,\#feb\#,27-Feb-29,Hilltop Industrial Estate,Energy,Operation,Environmental,Legal,Y,,9/12/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Hilltop Ind Estate EPCs/Complex Logistics - 1b Dromintee Road - EPC Report.pdf:PDF
Certificate,ESG06,Energy performance certificate (EPC),Stroma Certification Ltd,,2018,\#oct\#,21-Oct-28,Hilltop Industrial Estate,Energy,Operation,Environmental,Legal,Y,,9/12/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Hilltop Ind Estate EPCs/Board 24 - EPC - Hilltop Industrial Estate.pdf:PDF
Certificate,ESG06,Energy Performance Certificate Non-Domestic Building,Elmhurst Energy Systems Ltd,,2018,\#aug\#,1-Aug-28,Hilltop Industrial Estate,Energy,Operation,Environmental,Legal,Y,,9/12/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Hilltop Ind Estate EPCs/MTS Waker Road Bardon Coalville LE67 1TZ EPC Report.pdf:PDF
TechReport,NA,LEV thorough examination \& testing report,Impact Technical Services Ltd,,2024,,,Mill Lane Industrial Estate,Mechanical,Maintenance,Operational,Best Practice,N,,9/12/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Mill Lane Industrial Estate  - Premier Display Units 1C and 1D/14609 LEV TExT Report Feb 2024.pdf:PDF
Certificate,ESG06,Energy performance certificate (EPC),Stroma Certification Ltd,,2023,\#feb\#,2-Feb-33,Mill Lane Industrial Estate,Energy,Operation,Environmental,Legal,Y,,9/12/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Mill Lane Ind Estate EPCs/EPC - Elliott Baxter Units.pdf:PDF
Certificate,ESG06,Energy performance certificate (EPC),Stroma Certification Ltd,,2023,\#apr\#,5-Apr-33,Hilltop Industrial Estate,Energy,Operation,Environmental,Legal,Y,,9/12/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Hilltop Ind Estate EPCs/Mitchell Storage Distribution - Unit 3 Dronintee Road - EPC.pdf:PDF
Certificate,ESG06,Energy performance certificate (EPC),Stroma Certification Ltd,,2023,\#jan\#,30-Jan-33,Netherfield Nottingham,Energy,Operation,Environmental,Legal,Y,,9/12/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Netherfield EPCs/EPC for Findel.pdf:PDF
Certificate,ESG06,Energy performance certificate (EPC),Stroma Certification Ltd,,2023,\#jan\#,30-Jan-33,Netherfield Nottingham,Energy,Operation,Environmental,Legal,Y,,9/12/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Netherfield EPCs/EPC Recommendations Report for Findel.pdf:PDF
TechReport,CE04,Lightning Protection Test and Inspect,Test Stirke UK Ltd,,2023,,,Netherfield Nottingham,FDAS,Construction,Operational,Best Practice,Y,,9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Netherfield Nottingham - Findel Education/Audit D/D4_Lightning Protection.pdf:PDF
Certificate,CE04,Certificate of Test and Inspection,Premier Technical Services Group,,2023,\#sep\#,"September 26,2024",Clarence House,Electrical,Operation,Operational,Best Practice,Y,,9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 2 Assets/3x London Assets/Clarence House/inspection documents including landlords FRA/PTSG LIGHTNING PROTECTION CERT pdf-Periodicals - 10667-2 (658640).pdf:PDF
TechReport,CE25,Electrical Thermographic Report,iRed Ltd,,2018,,,Netherfield Nottingham,Electrical,Operation,Operational,Best Practice,N,No exact title,9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Netherfield Nottingham - Findel Education/Audit D/D25_Findel Education - Nottingham - IrPIR.pdf:PDF
Contract,CO01,Contractor Warranty,Aviva Life \& Pensions UK Limited,,2016,\#may\#,NA,4 Matthew Parker Street,Legal,General,Construction Contract Warranty,Legal,Y,,9/13/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 2 Assets/3x London Assets/Clarence House/Tenant Contractor Warranty - BW Interiors 31.05.16.pdf:PDF
TechReport,CE02,Results of Anchor Point/Anchorage Tests,Access Testing,,2024,,,Netherfield Nottingham,Structural,Construction,Operational,Best Practice,Y,,9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Netherfield Nottingham - Findel Education/Audit D/D2_20240214-CERACL2177_1-Test & Inspection-Findel_Education_Ltd-ACT001A_Anchor_Points_Inspection_Test.pdf:PDF
TechReport,CE02,Wire System Inspection,Access Testing,,2024,,,Netherfield Nottingham,Electrical,Construction,Operational,Best Practice,Y,,9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/PROJEC~1/069DA0~1.DOC/STAGE1~1/NETHER~2/AUDITD~1/D2_202~2.PDF:PDF
Certificate,CE22,Findel Education Certificate of Conformity,Mitre Appliance Testing Ltd,,2023,\#oct\#,11-Oct-24,Netherfield Nottingham,Electronics,Operation,Operational,Best Practice,N,,9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Netherfield Nottingham - Findel Education/Audit D/D22_Findel Education Certificate.pdf:PDF
TechReport,CE22,Test Result for Findel Education,Mitre Appliance Testing Ltd,,2023,,,Netherfield Nottingham,Electronics,Operation,Operational,Best Practice,N,,9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Netherfield Nottingham - Findel Education/Audit D/D22_Findel Education Report.pdf:PDF
Misc,OM02,Fire Risk Assessment 2024,NA,,2024,,,Mill Lane Industrial Estate,FDAS,General,Operational,Legal,Y,,9/12/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Mill Lane Industrial Estate  - Premier Display Units 1C and 1D/Copy of FIRE RISK ASSESSMENT 2024  - Premier Display Limited.xlsx:Excel 2007+
Misc,NA,Client Questionnaire - Hilltop Industrial Estate Bardon,NA,,2023,,,Hilltop Industrial Estate,General,General,Other,Other,N,,9/12/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Hilltop Ind Estate/Client Questionnaire - Hilltop Industrial Estate Bardon(692793310.1).doc:Word
Misc,NA,"Client Questionnaire_ Netherfield, Pintail House, Nottingham",NA,,2023,,,Netherfield Nottingham,General,General,Other,Other,N,,9/12/2024,,,":C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Netherfield Certificate of Title Questionnaire/Client Questionnaire_ Netherfield, Pintail House, Nottingham(692_3534727_1.doc:Word"
TechReport,CE11,Closed System Analysis of Clarence House,AQUA Compliance Services Limited,,2024,\#jan\#,,Clarence House,Environment,Operation,Operational,Best Practice,Y,,9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 2 Assets/3x London Assets/Clarence House/inspection documents including landlords FRA/15.1.24 - 4 MPS - Closed System Analysis Report.pdf:PDF
Certificate,ESG06,Energy performance certificate (EPC),NHER,,2015,\#aug\#,19-Aug-25,Hilltop Industrial Estate,Energy,Operation,Environmental,Legal,Y,,9/12/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Hilltop Ind Estate EPCs/EPC - Electract Unit.pdf:PDF
TechReport,OM02,Findel Fire Risk Assessment,NA,,2024,,,Netherfield Nottingham,FDAS,Construction,Operational,Legal,Y,,9/13/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Netherfield Nottingham - Findel Education/Audit C/C1_NOTTINGHAM FRA 2024-2025.pdf:PDF
Plan,LE01,Official Copy (Title Plan) LT335729,HM Land Registry,,2024,\#mar\#,,Abbey Sidings,Legal,General,Legal,Legal,Y,"Also inculded in Other sites not in our scope"" folder""",9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Title Plans/Abbey Sidings/Official Copy (Title Plan) LT335729.pdf:PDF
Plan,LE01,Official Copy (Title Plan) LT84242,HM Land Registry,,2024,\#mar\#,,Abbey Sidings,Legal,General,Legal,Legal,Y,,9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Title Plans/Abbey Sidings/Official Copy (Title Plan) LT84242.pdf:PDF
Plan,LE01,Official Copy (Title Plan) NGL823752,HM Land Registry,,2024,\#mar\#,,Clarence House,Legal,General,Legal,Legal,Y,Other sites not in our scope,9/16/2024,,,":C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Title Plans/Other sites not in our scope/Title Plans/Title Plans/Clarence House, Matthew Parker Street/Official Copy (Title Plan) NGL823752.pdf:PDF"
Plan,LE01,Official Copy (Title Plan) NT257130,HM Land Registry,,2024,\#mar\#,,"Clumber street, Nottingham",Legal,General,Legal,Legal,Y,Other sites not in our scope,9/16/2024,,,":C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Title Plans/Other sites not in our scope/Title Plans/Title Plans/Clumber Street, Nottingham/Official Copy (Title Plan) NT257130.pdf:PDF"
Plan,LE01,Official Copy (Title Plan) NT271956,HM Land Registry,,2024,\#mar\#,,"Clumber street, Nottingham",Legal,General,Legal,Legal,Y,Other sites not in our scope,9/16/2024,,,":C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Title Plans/Other sites not in our scope/Title Plans/Title Plans/Clumber Street, Nottingham/Official Copy (Title Plan) NT271956.pdf:PDF"
Plan,LE01,Official Copy (Title Plan) LN48516,HM Land Registry,,2024,\#mar\#,,"Curzon Street, London",Legal,General,Legal,Legal,Y,Other sites not in our scope,9/16/2024,,,":C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Title Plans/Other sites not in our scope/Title Plans/Title Plans/Curzon Street, London/Official Copy (Title Plan) LN48516.pdf:PDF"
Plan,LE01,Official Copy (Title Plan) LN68864,HM Land Registry,,2024,\#mar\#,,"Curzon Street, London",Legal,General,Legal,Legal,Y,Other sites not in our scope,9/16/2024,,,":C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Title Plans/Other sites not in our scope/Title Plans/Title Plans/Curzon Street, London/Official Copy (Title Plan) LN68864.pdf:PDF"
Plan,LE01,Official Copy (Title Plan) NN165788,HM Land Registry,,2024,\#mar\#,,"Earlestrees Road, Corby",Legal,General,Legal,Legal,Y,Other sites not in our scope,9/16/2024,,,":C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Title Plans/Other sites not in our scope/Title Plans/Title Plans/Earlestrees Road, Corby/Official Copy (Title Plan) NN165788.pdf:PDF"
Plan,LE01,Official Copy (Title Plan) TT13476,HM Land Registry,,2024,\#mar\#,,"Eclipse Park, Maidstone",Legal,General,Legal,Legal,Y,Other sites not in our scope,9/16/2024,,,":C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Title Plans/Other sites not in our scope/Title Plans/Title Plans/Eclipse Park, Maidstone/Official Copy (Title Plan) TT13476.pdf:PDF"
Plan,LE01,Official Copy (Title Plan) LT239282,HM Land Registry,,2024,\#mar\#,,Flatten Way,Legal,General,Legal,Legal,Y,Other sites not in our scope,9/16/2024,,,":C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Title Plans/Other sites not in our scope/Title Plans/Title Plans/Flatten Way, Syston/Official Copy (Title Plan) LT239282.pdf:PDF"
Plan,LE01,Official Copy (Title Plan) LT370385,HM Land Registry,,2024,\#mar\#,,"Hawley Road, Hinckley",Legal,General,Legal,Legal,Y,Other sites not in our scope,9/16/2024,,,":C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Title Plans/Other sites not in our scope/Title Plans/Title Plans/Hawley Road, Hinckley/Official Copy (Title Plan) LT370385.pdf:PDF"
