Entrytype,Groups,Title,Organization,Creationdate,Year,Month,Validity,Asset, Discipline, Stage, Category, Requirement, Must, Comment, Timestamp, Register,URL,File
Plan,LE01,Official Copy (Title Plan) LT251576,HM Land Registry,,2024,\#apr\#,,Humberstone,Legal,General,Legal,Legal,Y,"Also inculded in Other sites not in our scope"" folder""",9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Title Plans/Humberstone/Official Copy (Title Plan) - LT251576.pdf:PDF
Plan,LE01,Official Copy (Title Plan) LT251577,HM Land Registry,,2024,\#apr\#,,Humberstone,Legal,General,Legal,Legal,Y,"Also inculded in Other sites not in our scope"" folder""",9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Title Plans/Humberstone/Official Copy (Title Plan) - LT251577.pdf:PDF
Plan,LE01,Official Copy (Title Plan) LT150837,HM Land Registry,,2024,\#apr\#,,Humberstone,Legal,General,Legal,Legal,Y,"Also inculded in Other sites not in our scope"" folder""",9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Title Plans/Humberstone/Official Copy (Title Plan) - LT150837.pdf:PDF
Plan,LE01,Official Copy (Title Plan) LT518164,HM Land Registry,,2024,\#mar\#,,Mill Lane Industrial Estate,Legal,General,Legal,Legal,Y,"Also inculded in Other sites not in our scope"" folder""",9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Title Plans/Mil Lane/Official Copy (Title Plan) LT518164.pdf:PDF
Plan,LE01,Official Copy (Title Plan) LT103200,HM Land Registry,,2024,\#mar\#,,Mill Lane Industrial Estate,Legal,General,Legal,Legal,Y,"Also inculded in Other sites not in our scope"" folder""",9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Title Plans/Mil Lane/Official Copy (Title Plan) LT103200.pdf:PDF
Plan,LE01,Official Copy (Title Plan) LT236761,HM Land Registry,,2024,\#mar\#,,Mill Lane Industrial Estate,Legal,General,Legal,Legal,Y,"Also inculded in Other sites not in our scope"" folder""",9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Title Plans/Mil Lane/Official Copy (Title Plan) LT236761.pdf:PDF
Plan,LE01,Official Copy (Title Plan) LT239213,HM Land Registry,,2024,\#mar\#,,Mill Lane Industrial Estate,Legal,General,Legal,Legal,Y,"Also inculded in Other sites not in our scope"" folder""",9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Title Plans/Mil Lane/Official Copy (Title Plan) LT239213.pdf:PDF
Plan,LE01,Official Copy (Title Plan) LT255204,HM Land Registry,,2024,\#mar\#,,Mill Lane Industrial Estate,Legal,General,Legal,Legal,Y,"Also inculded in Other sites not in our scope"" folder""",9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Title Plans/Mil Lane/Official Copy (Title Plan) LT255204.pdf:PDF
Plan,LE01,Official Copy (Title Plan) LT392319,HM Land Registry,,2024,\#mar\#,,Mill Lane Industrial Estate,Legal,General,Legal,Legal,Y,"Also inculded in Other sites not in our scope"" folder""",9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Title Plans/Mil Lane/Official Copy (Title Plan) LT392319.pdf:PDF
Plan,LE01,Official Copy (Title Plan) LT417035,HM Land Registry,,2024,\#mar\#,,Mill Lane Industrial Estate,Legal,General,Legal,Legal,Y,"Also inculded in Other sites not in our scope"" folder""",9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Title Plans/Mil Lane/Official Copy (Title Plan) LT417035.pdf:PDF
